#GJM0335C0J270JB01,,
#In Production,,
#2026/06/21,,
#q,,
#DC0V 25degC,,
Frequency[Hz],Q[],
1.0E8,651.6091114217227,
1.21E8,537.2434548790839,
1.42E8,456.50182465224077,
1.63E8,396.39057970628477,
1.84E8,349.8481740189884,
2.05E8,312.70677938800833,
2.26E8,282.34785634489026,
2.47E8,257.04354204055653,
2.68E8,235.6076818616194,
2.89E8,217.1990052571876,
3.1E8,201.2043003863273,
3.31E8,187.16605963298554,
3.52E8,174.73602449244075,
3.73E8,163.64442294540314,
3.94E8,153.67904459446663,
4.15E8,144.67066893400255,
4.36E8,136.482704818823,
4.57E8,129.0036865983276,
4.78E8,122.1417484479563,
4.99E8,115.82049418166679,
5.2E8,109.97586808663343,
5.41E8,104.55375481047757,
5.62E8,99.50811762755153,
5.83E8,94.79953935205413,
6.04E8,90.39406791522175,
6.25E8,86.26229495804498,
6.46E8,82.37861442075413,
6.67E8,78.72062146142285,
6.88E8,75.26862171967734,
7.09E8,72.00522804401426,
7.3E8,68.91502706507872,
7.51E8,65.9843019366513,
7.72E8,63.20080054125726,
7.93E8,60.55354072362741,
8.14E8,58.03264585555156,
8.35E8,55.629205382257396,
8.56E8,53.33515604989914,
8.77E8,51.14318033718974,
8.98E8,49.0466192644962,
9.19E8,47.03939727039251,
9.4E8,45.11595725856811,
9.61E8,43.27120424978408,
9.82E8,41.50045634158297,
1.003E9,39.79940189603717,
1.024E9,38.16406205329598,
1.045E9,36.59075781410845,
1.066E9,35.07608105416809,
1.087E9,33.61686893200945,
1.108E9,32.210181234218346,
1.129E9,30.853280270023657,
1.15E9,29.54361298442429,
1.171E9,28.278795006870155,
1.192E9,27.05659639278874,
1.213E9,25.874928849234486,
1.234E9,24.731834264707665,
1.255E9,23.625474387611423,
1.276E9,22.554121518604074,
1.297E9,21.516150099847472,
1.318E9,20.510029099333778,
1.339E9,19.534315101494244,
1.36E9,18.58764602648853,
1.381E9,17.66873541021913,
1.402E9,16.776367185444524,
1.423E9,15.909390911571927,
1.444E9,15.066717406959656,
1.465E9,14.247314742987783,
1.486E9,13.450204563880597,
1.507E9,12.674458700384532,
1.528E9,11.919196049004235,
1.549E9,11.183579691648282,
1.57E9,10.466814233296818,
1.591E9,9.76814333772673,
1.612E9,9.086847443461274,
1.633E9,8.422241643988539,
1.654E9,7.773673717949228,
1.675E9,7.140522296457759,
1.696E9,6.522195156015701,
1.717E9,5.918127626624485,
1.738E9,5.3277811057231474,
1.759E9,4.7506416694826825,
1.78E9,4.186218773794887,
1.801E9,3.6340440380128762,
1.822E9,3.0936701051421234,
1.843E9,2.564669572755477,
