#GJM0335C0J270JB01,,
#In Production,,
#2026/06/21,,
#df,,
#DC0V 25degC,,
Frequency[Hz],DF[],
1.0E8,0.00153466239570858,
1.21E8,0.0018613535277504083,
1.42E8,0.002190571748013913,
1.63E8,0.0025227642915756836,
1.84E8,0.002858382790775189,
2.05E8,0.003197883979225133,
2.26E8,0.003541730448905876,
2.47E8,0.003890391456877058,
2.68E8,0.004244343784118783,
2.89E8,0.004604072651326785,
3.1E8,0.004970072697650723,
3.31E8,0.0053428490291503854,
3.52E8,0.005722918344426801,
3.73E8,0.006110810145565615,
3.94E8,0.0065070680432640195,
4.15E8,0.006912251165826785,
4.36E8,0.00732693568263812,
4.57E8,0.007751716453760353,
4.78E8,0.008187208818499046,
4.99E8,0.008634050537131017,
5.2E8,0.009092903901538205,
5.41E8,0.009564458032259858,
5.62E8,0.010049431381496889,
5.83E8,0.010548574463915175,
6.04E8,0.011062672839747337,
6.25E8,0.011592550377733003,
6.46E8,0.012139072828931487,
6.67E8,0.012703151746458854,
6.88E8,0.013285748790834731,
7.09E8,0.013887880465967487,
7.3E8,0.014510623336992485,
7.51E8,0.015155119788340827,
7.72E8,0.015822584388740513,
7.93E8,0.016514310939538663,
8.14E8,0.01723168029403811,
8.35E8,0.017976169048766318,
8.56E8,0.018749359223106485,
8.77E8,0.019552949061965762,
8.98E8,0.020388765117678124,
9.19E8,0.021258775792805894,
9.4E8,0.022165106555731718,
9.61E8,0.02311005707692986,
9.82E8,0.024096120576823917,
1.003E9,0.02512600572772854,
1.024E9,0.02620266151447672,
1.045E9,0.027329305533388703,
1.066E9,0.028509456300311802,
1.087E9,0.02974697024944568,
1.108E9,0.031046084240521268,
1.129E9,0.03241146455897518,
1.15E9,0.03384826360023098,
1.171E9,0.03536218568567212,
1.192E9,0.03695956377818923,
1.213E9,0.03864744926746282,
1.234E9,0.04043371750339603,
1.255E9,0.042327192402298326,
1.276E9,0.04433779427742891,
1.297E9,0.04647671611135902,
1.318E9,0.048756634871497215,
1.339E9,0.05119196628109612,
1.36E9,0.05379917384777711,
1.381E9,0.0565971461331424,
1.402E9,0.05960766052304922,
1.423E9,0.06285595756356929,
1.444E9,0.06637145789553851,
1.465E9,0.07018866488453049,
1.486E9,0.07434831160006419,
1.507E9,0.07889883297104126,
1.528E9,0.08389827601531423,
1.549E9,0.0894168081751842,
1.57E9,0.09554005428116037,
1.591E9,0.10237360012294035,
1.612E9,0.11004916790141353,
1.633E9,0.11873323543426949,
1.654E9,0.12863930701014936,
1.675E9,0.14004577795325646,
1.696E9,0.15332261241487952,
1.717E9,0.16897236137679728,
1.738E9,0.1876953989205359,
1.759E9,0.21049787998615654,
1.78E9,0.23887905865308634,
1.801E9,0.27517553159504576,
1.822E9,0.32324067079352015,
1.843E9,0.38991377705066366,
