#GJM0335C0J270JB01,,
#In Production,,
#2026/06/21,,
#l,,
#DC0V 25degC,,
Frequency[Hz],Inductance[H],
1.969E9,4.435313280095383E-12,
1.99E9,9.578584440795352E-12,
2.011E9,1.4565199291117763E-11,
2.032E9,1.9401679038443437E-11,
2.053E9,2.4094213539007117E-11,
2.074E9,2.864868133811239E-11,
2.095E9,3.307066831236941E-11,
2.116E9,3.7365485024388206E-11,
2.137E9,4.153818289064565E-11,
2.158E9,4.559356925446496E-11,
2.179E9,4.953622144811784E-11,
2.2E9,5.337049992087469E-11,
2.221E9,5.7100560503327605E-11,
2.242E9,6.073036587241133E-11,
2.263E9,6.426369627619475E-11,
2.284E9,6.770415957265305E-11,
2.305E9,7.105520063220811E-11,
2.326E9,7.432011014980023E-11,
2.347E9,7.750203290858943E-11,
2.368E9,8.060397553404219E-11,
2.389E9,8.362881377410861E-11,
2.41E9,8.657929933841317E-11,
2.431E9,8.945806632683354E-11,
2.452E9,9.226763727551761E-11,
2.473E9,9.50104288462545E-11,
2.494E9,9.76887571831664E-11,
2.515E9,1.0030484295889613E-10,
2.536E9,1.0286081613082406E-10,
2.557E9,1.0535872042634203E-10,
2.578E9,1.0780051757482528E-10,
2.599E9,1.1018809130267027E-10,
2.62E9,1.1252325110659786E-10,
2.641E9,1.1480773581933871E-10,
2.662E9,1.1704321698082777E-10,
2.683E9,1.1923130202711904E-10,
2.704E9,1.213735373083859E-10,
2.725E9,1.234714109465939E-10,
2.746E9,1.2552635554271584E-10,
2.767E9,1.275397507426899E-10,
2.788E9,1.2951292567071263E-10,
2.809E9,1.3144716123788534E-10,
2.83E9,1.333436923337135E-10,
2.851E9,1.3520370990746508E-10,
2.872E9,1.370283629459505E-10,
2.893E9,1.388187603538654E-10,
2.914E9,1.4057597274245325E-10,
2.935E9,1.4230103413188578E-10,
2.956E9,1.439949435724303E-10,
2.977E9,1.4565866668916037E-10,
2.998E9,1.472931371546879E-10,
3.019E9,1.4889925809412452E-10,
3.04E9,1.5047790342623985E-10,
3.061E9,1.5202991914455602E-10,
3.082E9,1.535561245419071E-10,
3.103E9,1.5505731338179832E-10,
3.124E9,1.5653425501972348E-10,
3.145E9,1.5798769547742751E-10,
3.166E9,1.5941835847295323E-10,
3.187E9,1.6082694640916844E-10,
3.208E9,1.6221414132334082E-10,
3.229E9,1.635806058002092E-10,
3.25E9,1.649269838508937E-10,
3.271E9,1.6625390175988564E-10,
3.292E9,1.675619689022746E-10,
3.313E9,1.6885177853328486E-10,
3.334E9,1.701239085521283E-10,
3.355E9,1.713789222421145E-10,
3.376E9,1.7261736898890776E-10,
3.397E9,1.7383978497877583E-10,
3.418E9,1.7504669387863544E-10,
3.439E9,1.7623860749967386E-10,
3.46E9,1.774160264463051E-10,
3.481E9,1.785794407522041E-10,
3.502E9,1.7972933050516333E-10,
3.523E9,1.8086616646251808E-10,
3.544E9,1.819904106589022E-10,
3.565E9,1.8310251700811913E-10,
3.586E9,1.842029319009473E-10,
3.607E9,1.852920948007422E-10,
3.628E9,1.8637043883874905E-10,
3.649E9,1.8743839141111154E-10,
3.67E9,1.8849637477963265E-10,
3.691E9,1.895448066784379E-10,
3.712E9,1.9058410092879408E-10,
3.733E9,1.9161466806445376E-10,
3.754E9,1.92636915970026E-10,
3.775E9,1.936512505350279E-10,
3.796E9,1.9465807632642734E-10,
3.817E9,1.9565779728267702E-10,
3.838E9,1.9665081743243158E-10,
3.859E9,1.9763754164136273E-10,
3.88E9,1.9861837639071173E-10,
3.901E9,1.9959373059147906E-10,
3.922E9,2.0056401643840536E-10,
3.943E9,2.0152965030818223E-10,
3.964E9,2.02491053706609E-10,
3.985E9,2.0344865426970192E-10,
4.006E9,2.044028868240331E-10,
4.027E9,2.053541945118365E-10,
4.048E9,2.0630302998662742E-10,
