#GJM0335C0J270JB01,,
#In Production,,
#2026/06/21,,
#c,,
#DC0V 25degC,,
Frequency[Hz],Capacitance[F],
1.0E8,2.7070776350233388E-11,
1.21E8,2.7103748890629732E-11,
1.42E8,2.71430917253434E-11,
1.63E8,2.7188859639613802E-11,
1.84E8,2.7241116673639398E-11,
2.05E8,2.7299936353306033E-11,
2.26E8,2.7365401957091573E-11,
2.47E8,2.7437606820946458E-11,
2.68E8,2.751665468322986E-11,
2.89E8,2.7602660072083867E-11,
3.1E8,2.7695748737958795E-11,
3.31E8,2.779605813436392E-11,
3.52E8,2.79037379503155E-11,
3.73E8,2.801895069839408E-11,
3.94E8,2.8141872362809298E-11,
4.15E8,2.8272693112412886E-11,
4.36E8,2.841161808420486E-11,
4.57E8,2.855886824355503E-11,
4.78E8,2.8714681328121027E-11,
4.99E8,2.8879312883299022E-11,
5.2E8,2.905303739800652E-11,
5.41E8,2.9236149550687196E-11,
5.62E8,2.942896557666149E-11,
5.83E8,2.9631824769350224E-11,
6.04E8,2.984509112949425E-11,
6.25E8,3.006915517831543E-11,
6.46E8,3.030443595264678E-11,
6.67E8,3.0551383202446623E-11,
6.88E8,3.0810479813854933E-11,
7.09E8,3.108224448410589E-11,
7.3E8,3.136723467825692E-11,
7.51E8,3.166604990190881E-11,
7.72E8,3.197933532898321E-11,
7.93E8,3.2307785829310005E-11,
8.14E8,3.265215044740683E-11,
8.35E8,3.3013237391584645E-11,
8.56E8,3.339191960160009E-11,
8.77E8,3.378914097376E-11,
8.98E8,3.4205923334983755E-11,
9.19E8,3.464337427223461E-11,
9.4E8,3.510269594142214E-11,
9.61E8,3.558519500094169E-11,
9.82E8,3.609229384018928E-11,
1.003E9,3.662554330357503E-11,
1.024E9,3.718663714689651E-11,
1.045E9,3.7777428506845556E-11,
1.066E9,3.839994871770926E-11,
1.087E9,3.9056428874260694E-11,
1.108E9,3.974932461932336E-11,
1.129E9,4.0481344732246767E-11,
1.15E9,4.1255484215336664E-11,
1.171E9,4.2075062725348673E-11,
1.192E9,4.294376938456342E-11,
1.213E9,4.3865715241341764E-11,
1.234E9,4.484549494744797E-11,
1.255E9,4.5888259597527524E-11,
1.276E9,4.699980316002983E-11,
1.297E9,4.818666555252565E-11,
1.318E9,4.9456256224120335E-11,
1.339E9,5.0817003167322515E-11,
1.36E9,5.227853368002737E-11,
1.381E9,5.385189505989347E-11,
1.402E9,5.554982591542534E-11,
1.423E9,5.738709217503828E-11,
1.444E9,5.938090653766046E-11,
1.465E9,6.155145658231223E-11,
1.486E9,6.392257585702501E-11,
1.507E9,6.652260524175907E-11,
1.528E9,6.938551064577687E-11,
1.549E9,7.255235067960519E-11,
1.57E9,7.607322918817665E-11,
1.591E9,8.000993040834307E-11,
1.612E9,8.443953240397413E-11,
1.633E9,8.945945042805886E-11,
1.654E9,9.519461699305336E-11,
1.675E9,1.0180793501731282E-10,
1.696E9,1.0951588789847107E-10,
1.717E9,1.1861254054460254E-10,
1.738E9,1.2950771135561304E-10,
1.759E9,1.427901420336857E-10,
1.78E9,1.5933710399330513E-10,
1.801E9,1.805158271429082E-10,
1.822E9,2.085810595458643E-10,
1.843E9,2.4753472015330253E-10,
1.864E9,3.0522481785657664E-10,
1.885E9,3.99427047671586E-10,
1.906E9,5.808035152228747E-10,
1.927E9,1.074401682919432E-9,
1.948E9,7.659506566330408E-9,
