% PlotTitle: "Multiantenna Matching"
% X axis: "Frequency [GHz]"
% Y axis: "Efficiency and S parameters [dB]"
"Frequency [GHz]"	"S11"	"Efficiency 1"
0,1	-0,0124361	-91,5081
0,104	-0,0126755	-90,8127
0,108	-0,0129163	-90,1449
0,112	-0,0131582	-89,4988
0,116	-0,0134007	-88,8697
0,12	-0,0136431	-88,2517
0,124	-0,0138878	-87,6456
0,128	-0,0141328	-87,0437
0,132	-0,0143775	-86,4406
0,136	-0,0146213	-85,8355
0,14	-0,0148639	-85,2283
0,144	-0,015107	-84,6237
0,148	-0,0153509	-84,0238
0,152	-0,0155932	-83,4265
0,156	-0,015834	-82,8354
0,16	-0,0160728	-82,2539
0,164	-0,0163107	-81,6873
0,168	-0,0165503	-81,1419
0,172	-0,0167878	-80,6144
0,176	-0,017023	-80,1067
0,18	-0,0172562	-79,6204
0,184	-0,0174865	-79,1562
0,188	-0,0177202	-78,7214
0,192	-0,017952	-78,3076
0,196	-0,018181	-77,9134
0,2	-0,0184075	-77,5373
0,204	-0,0186309	-77,176
0,208	-0,018857	-76,8322
0,212	-0,0190822	-76,4977
0,216	-0,0193051	-76,1674
0,22	-0,0195247	-75,8364
0,224	-0,0197414	-75,5016
0,228	-0,0199592	-75,162
0,232	-0,0201783	-74,8152
0,236	-0,0203948	-74,4554
0,24	-0,0206084	-74,0819
0,244	-0,0208186	-73,6954
0,248	-0,0210277	-73,2992
0,252	-0,0212413	-72,899
0,256	-0,0214523	-72,4925
0,26	-0,0216601	-72,0843
0,264	-0,0218645	-71,6779
0,268	-0,0220653	-71,2771
0,272	-0,0222738	-70,8919
0,276	-0,0224794	-70,5187
0,28	-0,0226822	-70,1596
0,284	-0,0228815	-69,8169
0,288	-0,0230773	-69,4912
0,292	-0,0232787	-69,1878
0,296	-0,0234802	-68,9028
0,3	-0,0236786	-68,6333
0,304	-0,0238735	-68,3773
0,308	-0,0240647	-68,1326
0,312	-0,024259	-67,8985
0,316	-0,024457	-67,6712
0,32	-0,0246517	-67,4433
0,324	-0,024843	-67,2109
0,328	-0,0250305	-66,9694
0,332	-0,0252181	-66,7169
0,336	-0,0254138	-66,4531
0,34	-0,0256062	-66,1721
0,344	-0,0257951	-65,8734
0,348	-0,0259802	-65,5579
0,352	-0,0261611	-65,2277
0,356	-0,0263546	-64,8913
0,36	-0,0265447	-64,5467
0,364	-0,0267321	-64,1985
0,368	-0,0269158	-63,8511
0,372	-0,0270952	-63,5083
0,376	-0,0272836	-63,1781
0,38	-0,027473	-62,8607
0,384	-0,0276592	-62,5573
0,388	-0,0278423	-62,27
0,392	-0,0280209	-61,9997
0,396	-0,0282043	-61,749
0,4	-0,0283934	-61,5174
0,404	-0,0285808	-61,3011
0,408	-0,0287638	-61,0977
0,412	-0,0289419	-60,9043
0,416	-0,0291205	-60,7186
0,42	-0,0293125	-60,5389
0,424	-0,0295002	-60,3566
0,428	-0,0296833	-60,1672
0,432	-0,0298635	-59,9663
0,436	-0,0300392	-59,7499
0,44	-0,030232	-59,5197
0,444	-0,0304217	-59,2691
0,448	-0,0306088	-58,9981
0,452	-0,0307905	-58,7076
0,456	-0,0309677	-58,4003
0,46	-0,0311597	-58,0831
0,464	-0,0313525	-57,758
0,468	-0,0315422	-57,4288
0,472	-0,0317287	-57,0998
0,476	-0,0319089	-56,776
0,48	-0,0320986	-56,4633
0,484	-0,032297	-56,165
0,488	-0,0324895	-55,8816
0,492	-0,0326817	-55,615
0,496	-0,032867	-55,3662
0,5	-0,0330542	-55,1363
0,504	-0,0332587	-54,9269
0,508	-0,0334568	-54,7334
0,512	-0,0336545	-54,5532
0,516	-0,0338454	-54,3834
0,52	-0,0340319	-54,2198
0,524	-0,034243	-54,0619
0,528	-0,0344482	-53,9007
0,532	-0,0346533	-53,7311
0,536	-0,0348504	-53,5481
0,54	-0,0350459	-53,3474
0,544	-0,0352571	-53,1284
0,548	-0,0354734	-52,8875
0,552	-0,035686	-52,6232
0,556	-0,0358934	-52,337
0,56	-0,0360983	-52,0317
0,564	-0,036311	-51,7131
0,568	-0,0365402	-51,3861
0,572	-0,0367609	-51,0539
0,576	-0,0369833	-50,7217
0,58	-0,0371957	-50,3944
0,584	-0,0374165	-50,0773
0,588	-0,0376538	-49,7758
0,592	-0,037892	-49,49
0,596	-0,0381218	-49,2218
0,6	-0,0383511	-48,9724
0,604	-0,0385711	-48,7421
0,608	-0,0388262	-48,5337
0,612	-0,0390735	-48,3423
0,616	-0,0393213	-48,1653
0,62	-0,0395598	-47,9995
0,624	-0,0397985	-47,8405
0,628	-0,0400549	-47,6863
0,632	-0,040324	-47,5296
0,636	-0,0405826	-47,3639
0,64	-0,0408453	-47,1837
0,644	-0,0410966	-46,9839
